# Pathway	HSM7J4NY_Abundance
PWY-1042: glycolysis IV (plant cytosol)	0.0859454
PWY-1042: glycolysis IV (plant cytosol)|unclassified	0.0224201
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.0501175
PWY-7237: myo-, chiro- and scillo-inositol degradation	0.0483096
PWY-7237: myo-, chiro- and scillo-inositol degradation|g__Parabacteroides.s__Parabacteroides_distasonis	0.00964427
PWY-7219: adenosine ribonucleotides de novo biosynthesis	0.0474475
PWY-7219: adenosine ribonucleotides de novo biosynthesis|unclassified	0.0132548
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_caccae	0.00377722
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	0.00372266
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	0.00233682
PWY-5484: glycolysis II (from fructose 6-phosphate)	0.0416415
PWY-7221: guanosine ribonucleotides de novo biosynthesis	0.0413113
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	0.0176072
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	0.00288399
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6	0.00211147
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_caccae	0.000899543
PWY66-399: gluconeogenesis III	0.0399836
PWY-7199: pyrimidine deoxyribonucleosides salvage	0.0368596
PWY-7199: pyrimidine deoxyribonucleosides salvage|unclassified	0.0147899
HISDEG-PWY: L-histidine degradation I	0.0365417
HISDEG-PWY: L-histidine degradation I|unclassified	0.0208512
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	0.0337798
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0.0308781
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	0.0274526
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Bacteroides.s__Bacteroides_stercoris	0.00328868
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	0.00293132
PWY-3841: folate transformations II	0.0247889
PWY66-400: glycolysis VI (metazoan)	0.0238142
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.023005
PWY-5030: L-histidine degradation III	0.0222467
PWY-5030: L-histidine degradation III|unclassified	0.010375
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation	0.0220928
P164-PWY: purine nucleobases degradation I (anaerobic)	0.0203609
P164-PWY: purine nucleobases degradation I (anaerobic)|unclassified	0.0203609
VALSYN-PWY: L-valine biosynthesis	0.0183545
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation	0.0178771
PWY-7208: superpathway of pyrimidine nucleobases salvage	0.0178457
PWY-5973: cis-vaccenate biosynthesis	0.0177893
PWY-2942: L-lysine biosynthesis III	0.0174981
PWY-6737: starch degradation V	0.0171386
PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)	0.0168833
PWY-6124: inosine-5'-phosphate biosynthesis II	0.016519
PWY-6123: inosine-5'-phosphate biosynthesis I	0.015811
PWY-7663: gondoate biosynthesis (anaerobic)	0.01509
PWY-6608: guanosine nucleotides degradation III	0.0147197
PWY-6609: adenine and adenosine salvage III	0.014607
PWY-6609: adenine and adenosine salvage III|unclassified	0.0139063
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	0.0143758
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	0.0143758
PWY-5686: UMP biosynthesis	0.0134411
PWY-5667: CDP-diacylglycerol biosynthesis I	0.0131196
PWY0-1319: CDP-diacylglycerol biosynthesis II	0.0131196
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.0128519
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	0.0113678
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.0110781
PWY-7111: pyruvate fermentation to isobutanol (engineered)	0.0109293
PWY-5676: acetyl-CoA fermentation to butanoate II	0.0107536
PWY-5676: acetyl-CoA fermentation to butanoate II|unclassified	0.0107536
PWY-5177: glutaryl-CoA degradation	0.00936189
PWY-5177: glutaryl-CoA degradation|unclassified	0.00936189
PWY-7234: inosine-5'-phosphate biosynthesis III	0.00851572
